progID,progNombre,progExtension,progCorreoElectronico,progTelefono,progEdificio,progOficina,areID,areNombre,areTelefono,areCorreoElectronico,areExtension,areEdificio,areDescripcion
1,"Fomento Económico Estudiantes",NULL,NULL,NULL,NULL,NULL,5,"Gestión y fomento socieconómico",3165000,economicaagfse_bog@unal.edu.co,10652,"Unidad Camilo Torres Bloque B 7, Oficina: 201","El Área de Gestión y Fomento Socioeconómico promueve el mejoramiento de las condiciones socioeconómicas y el desarrollo personal y profesional de la comunidad estudiantil."
2,"Cita medica",NULL,NULL,NULL,NULL,NULL,1,Salud,5713165000,areasalud_bog@unal.edu.co,21072,"CAN Bloque 3, Edificio 933","El Área de Salud promueve el mejoramiento permanente de las condiciones físicas, psíquicas, mentales, sociales y ambientales en las que se desarrolla la vida universitaria, mediante programas formativos, preventivos y correctivos que incidan en la calidad de vida y hábitos de vida saludable.
Protegemos y promocionamos la salud integral de la comunidad universitaria a partir de la caracterización del riesgo individual y grupal, la prevención de la enfermedad, la gestión en salud y la atención de emergencias."
3,CursoCultural,NULL,NULL,NULL,NULL,NULL,2,Cultura,5713165194,culturabien_bog@unal.edu.co,17248,"Edificio No. 103
Polideportivo Primer Piso / antiguas oficinas División de archivo","El Área de Cultura promueve en la comunidad universitaria el desarrollo de aptitudes estéticas y artísticas en su formación, expresión y divulgación, atendiendo la diversidad cultural de la misma.
Estimulamos la formación y la proyección artística de la comunidad universitaria, en diversas expresiones modernas, contemporáneas, urbanas y representativas del folclor nacional, cultivando el respeto por el patrimonio
 cultural material e inmaterial, el reconocimiento de la diversidad y la creación e investigación de nuevas prácticas del saber."
4,"Grupo artistico institucional",NULL,NULL,NULL,NULL,NULL,2,Cultura,5713165194,culturabien_bog@unal.edu.co,17248,"Edificio No. 103
Polideportivo Primer Piso / antiguas oficinas División de archivo","El Área de Cultura promueve en la comunidad universitaria el desarrollo de aptitudes estéticas y artísticas en su formación, expresión y divulgación, atendiendo la diversidad cultural de la misma.
Estimulamos la formación y la proyección artística de la comunidad universitaria, en diversas expresiones modernas, contemporáneas, urbanas y representativas del folclor nacional, cultivando el respeto por el patrimonio
 cultural material e inmaterial, el reconocimiento de la diversidad y la creación e investigación de nuevas prácticas del saber."
5,Urgencia,NULL,NULL,NULL,NULL,NULL,1,Salud,5713165000,areasalud_bog@unal.edu.co,21072,"CAN Bloque 3, Edificio 933","El Área de Salud promueve el mejoramiento permanente de las condiciones físicas, psíquicas, mentales, sociales y ambientales en las que se desarrolla la vida universitaria, mediante programas formativos, preventivos y correctivos que incidan en la calidad de vida y hábitos de vida saludable.
Protegemos y promocionamos la salud integral de la comunidad universitaria a partir de la caracterización del riesgo individual y grupal, la prevención de la enfermedad, la gestión en salud y la atención de emergencias."
1701,"Actividad ludico deportiva",NULL,NULL,NULL,NULL,NULL,17,"Actividad Fisica & Deporte",3165000,divrecd_bog@unal.edu.co,17207,"No. 103 Polideportivo","Area encargada de la actividad deportiva en la UNAL."
1702,"Acondicionamiento físico e instruccion",NULL,NULL,NULL,NULL,NULL,17,"Actividad Fisica & Deporte",3165000,divrecd_bog@unal.edu.co,17207,"No. 103 Polideportivo","Area encargada de la actividad deportiva en la UNAL."
1703,"Deporte de competencia",NULL,NULL,NULL,NULL,NULL,17,"Actividad Fisica & Deporte",3165000,divrecd_bog@unal.edu.co,17207,"No. 103 Polideportivo","Area encargada de la actividad deportiva en la UNAL."
1704,"Deporte de alto rendimiento",NULL,NULL,NULL,NULL,NULL,17,"Actividad Fisica & Deporte",3165000,divrecd_bog@unal.edu.co,17207,"No. 103 Polideportivo","Area encargada de la actividad deportiva en la UNAL."
1705,"Proyectos estratégicos",NULL,NULL,NULL,NULL,NULL,17,"Actividad Fisica & Deporte",3165000,divrecd_bog@unal.edu.co,17207,"No. 103 Polideportivo","Area encargada de la actividad deportiva en la UNAL."
